"RV272U: ABIELLUJAD | Aasta, Sugu, Asustuspiirkonna liik, Elukoht ning Vanuserühm"

"Aasta","Sugu","Asustuspiirkonna liik","Elukoht","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75 ja vanemad"
"2019","Mehed","Maaline asustuspiirkond","Rapla maakond",0,8,18,24,17,14,8,7,4,0,2,2,0
"2019","Mehed","Maaline asustuspiirkond","Saare maakond",0,2,18,21,10,8,9,8,6,1,0,0,0
"2019","Mehed","Maaline asustuspiirkond","Tartu maakond",0,8,43,39,33,20,15,7,7,3,0,0,1
"2019","Mehed","Maaline asustuspiirkond","Valga maakond",0,3,13,18,10,11,5,2,1,0,1,1,0
"2019","Mehed","Maaline asustuspiirkond","Viljandi maakond",0,5,20,21,19,13,10,8,3,2,1,0,0
"2019","Mehed","Maaline asustuspiirkond","Võru maakond",0,5,22,23,12,4,9,6,2,0,1,0,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",34,358,821,845,463,291,151,91,58,29,17,9,4
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",29,323,731,717,374,237,128,71,50,26,12,8,4
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",29,99,92,107,62,54,46,23,28,15,3,0,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",2,3,4,4,1,1,0,1,0,0,0,0,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",1,5,9,8,8,4,6,4,2,0,0,0,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",0,2,8,11,7,4,2,0,2,1,0,1,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",2,13,18,19,12,8,6,7,2,1,0,0,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",0,2,5,5,2,1,1,1,0,0,0,0,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",5,26,36,33,37,19,15,11,1,1,0,1,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",0,4,6,5,4,2,0,0,1,0,0,0,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",0,5,13,17,6,5,2,2,2,0,0,0,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",5,43,133,125,71,56,24,16,8,4,1,1,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",2,6,15,6,9,5,1,1,2,2,1,0,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",0,6,18,17,14,9,7,2,2,2,0,0,0
"2019","Naised","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",1,4,8,11,6,5,1,0,1,2,0,0,0
"2019","Naised","Maaline asustuspiirkond","Harju maakond",6,31,65,71,55,28,25,17,7,6,0,0,1
"2019","Naised","Maaline asustuspiirkond","..Tallinn",.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","Naised","Maaline asustuspiirkond","Hiiu maakond",0,0,12,7,1,4,0,2,3,0,0,0,0
"2019","Naised","Maaline asustuspiirkond","Ida-Viru maakond",4,16,21,12,10,14,8,4,4,1,1,0,0
"2019","Naised","Maaline asustuspiirkond","Jõgeva maakond",1,10,21,16,11,2,3,4,1,2,1,0,0
"2019","Naised","Maaline asustuspiirkond","Järva maakond",0,8,16,14,2,3,3,2,1,0,0,0,0
"2019","Naised","Maaline asustuspiirkond","Lääne maakond",0,4,10,7,3,3,4,2,1,0,0,0,0
"2019","Naised","Maaline asustuspiirkond","Lääne-Viru maakond",4,13,29,19,20,13,3,7,5,0,1,1,0
"2019","Naised","Maaline asustuspiirkond","Põlva maakond",1,7,24,9,8,1,6,4,2,1,0,0,0
"2019","Naised","Maaline asustuspiirkond","Pärnu maakond",1,11,31,23,22,8,5,6,3,1,0,1,0
"2019","Naised","Maaline asustuspiirkond","Rapla maakond",1,8,25,11,14,14,7,5,6,2,0,0,0
"2019","Naised","Maaline asustuspiirkond","Saare maakond",1,4,14,17,3,3,9,5,0,1,0,0,0
"2019","Naised","Maaline asustuspiirkond","Tartu maakond",1,20,49,36,12,10,7,8,2,4,1,0,0
"2019","Naised","Maaline asustuspiirkond","Valga maakond",1,8,10,10,5,3,4,2,3,0,0,0,0
"2019","Naised","Maaline asustuspiirkond","Viljandi maakond",1,7,18,19,12,5,8,4,1,1,0,0,0
"2019","Naised","Maaline asustuspiirkond","Võru maakond",1,7,15,18,0,3,2,4,0,2,0,0,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",8,172,465,727,508,284,219,120,78,31,29,11,7
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",7,150,418,594,420,220,178,93,65,22,25,11,7
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",4,53,69,98,67,42,58,28,15,17,8,2,1
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",0,0,3,2,3,1,0,0,1,1,1,0,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",0,3,10,10,8,9,5,5,2,0,0,0,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",1,1,8,10,8,3,2,0,3,2,0,0,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",1,2,10,16,17,6,8,3,2,2,0,0,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",0,2,3,4,1,1,0,0,0,0,0,0,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",0,7,34,50,39,16,11,18,7,5,4,0,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",0,0,3,4,7,2,2,1,1,1,0,1,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",0,1,8,17,9,5,0,5,2,2,0,0,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",2,33,90,120,73,35,29,20,8,4,4,1,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",1,5,7,9,8,4,6,2,3,2,0,0,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",0,5,13,17,13,6,10,4,3,0,2,1,0
"2020","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",0,0,8,6,9,3,0,2,0,0,1,0,0
"2020","Mehed","Maaline asustuspiirkond","Harju maakond",0,15,50,66,70,41,34,17,16,5,2,1,2
"2020","Mehed","Maaline asustuspiirkond","..Tallinn",0,0,0,0,0,0,0,0,0,0,0,0,0
"2020","Mehed","Maaline asustuspiirkond","Hiiu maakond",0,2,9,11,5,4,8,5,2,0,0,0,0
"2020","Mehed","Maaline asustuspiirkond","Ida-Viru maakond",0,9,25,26,12,12,9,5,1,2,1,1,0
"2020","Mehed","Maaline asustuspiirkond","Jõgeva maakond",0,7,16,19,14,6,13,5,6,0,1,1,0
"2020","Mehed","Maaline asustuspiirkond","Järva maakond",0,2,9,11,9,11,2,7,0,1,1,0,0
"2020","Mehed","Maaline asustuspiirkond","Lääne maakond",0,1,8,7,8,3,3,4,2,2,0,0,0
"2020","Mehed","Maaline asustuspiirkond","Lääne-Viru maakond",0,9,28,40,24,15,12,10,8,1,0,2,1
"2020","Mehed","Maaline asustuspiirkond","Põlva maakond",0,3,12,17,19,3,5,4,5,1,0,0,1
"2020","Mehed","Maaline asustuspiirkond","Pärnu maakond",0,10,11,37,23,10,8,12,4,2,1,0,0
"2020","Mehed","Maaline asustuspiirkond","Rapla maakond",0,7,15,37,15,15,13,7,6,4,1,0,1
"2020","Mehed","Maaline asustuspiirkond","Saare maakond",1,1,19,20,13,11,7,8,2,1,1,0,1
"2020","Mehed","Maaline asustuspiirkond","Tartu maakond",0,7,37,50,28,32,22,4,5,4,1,0,0
"2020","Mehed","Maaline asustuspiirkond","Valga maakond",0,2,9,16,5,7,3,2,0,3,0,0,0
"2020","Mehed","Maaline asustuspiirkond","Viljandi maakond",1,7,16,28,15,4,7,4,0,1,0,1,0
"2020","Mehed","Maaline asustuspiirkond","Võru maakond",0,6,18,11,7,7,7,6,6,1,1,0,0
