Aasta,Sugu,Elukoht,Vanuserühm,Kokku,Alla 1 aasta,1 aasta,2 aastat,3 aastat,4 aastat,5 aastat,6 aastat,7 aastat,8 aastat,9 aastat,10-14 aastat,15-19 aastat,20 ja enam aastat,Abielu kestus teadmata
2017,Mehed,Elukoht väljaspool Eestit,30-34,18,1,0,2,1,1,3,1,3,1,0,2,0,0,3
2017,Mehed,Elukoht väljaspool Eestit,35-39,30,1,0,1,2,1,2,3,3,0,2,8,5,0,2
2017,Mehed,Elukoht väljaspool Eestit,40-44,21,1,0,2,0,1,1,3,1,0,2,3,4,2,1
2017,Mehed,Elukoht väljaspool Eestit,45-49,22,0,0,0,1,0,1,0,1,0,3,2,4,10,0
2017,Mehed,Elukoht väljaspool Eestit,50-54,14,2,0,1,0,0,1,0,0,1,0,3,2,4,0
2017,Mehed,Elukoht väljaspool Eestit,55-59,14,0,0,0,1,0,0,1,0,0,0,0,1,10,1
2017,Mehed,Elukoht väljaspool Eestit,60-64,10,0,0,0,1,0,0,0,0,0,0,1,2,6,0
2017,Mehed,Elukoht väljaspool Eestit,65-69,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,Mehed,Elukoht väljaspool Eestit,70-74,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,Mehed,Elukoht väljaspool Eestit,75 ja vanemad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht väljaspool Eestit,Vanus teadmata,36,0,4,6,8,0,4,2,3,1,0,2,0,1,5
2017,Mehed,Elukoht Eestis,Vanuserühmad kokku,3147,89,188,214,199,163,175,158,131,125,118,489,289,799,10
2017,Mehed,Elukoht Eestis,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht Eestis,20-24,45,7,17,11,8,2,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht Eestis,25-29,274,20,51,51,54,37,26,17,3,6,3,5,0,0,1
2017,Mehed,Elukoht Eestis,30-34,488,24,44,60,63,45,54,48,44,31,20,55,0,0,0
2017,Mehed,Elukoht Eestis,35-39,496,20,27,37,27,27,46,45,35,34,32,131,34,0,1
2017,Mehed,Elukoht Eestis,40-44,494,11,15,32,16,21,20,18,20,27,29,129,99,57,0
2017,Mehed,Elukoht Eestis,45-49,496,4,16,14,15,17,13,17,13,16,12,92,88,178,1
2017,Mehed,Elukoht Eestis,50-54,317,1,10,5,6,6,5,5,7,5,12,35,26,191,3
2017,Mehed,Elukoht Eestis,55-59,270,1,4,1,3,1,7,4,6,5,6,22,25,184,1
2017,Mehed,Elukoht Eestis,60-64,138,0,2,2,4,7,2,2,2,1,2,12,6,95,1
2017,Mehed,Elukoht Eestis,65-69,77,1,2,0,3,0,2,0,0,0,0,4,4,60,1
2017,Mehed,Elukoht Eestis,70-74,33,0,0,1,0,0,0,1,0,0,2,3,5,21,0
2017,Mehed,Elukoht Eestis,75 ja vanemad,19,0,0,0,0,0,0,1,1,0,0,1,2,13,1
2017,Mehed,Elukoht Eestis,Vanus teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,Vanuserühmad kokku,2283,69,156,163,157,127,131,121,97,99,89,371,183,512,8
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,20-24,39,7,13,11,6,2,0,0,0,0,0,0,0,0,0
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,25-29,221,18,40,39,45,31,21,14,3,5,1,3,0,0,1
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,30-34,371,16,38,44,51,37,40,36,31,21,13,44,0,0,0
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,35-39,382,15,25,29,18,22,35,34,28,31,24,97,23,0,1
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,40-44,349,8,14,24,12,11,13,12,15,22,24,94,65,35,0
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,45-49,349,3,15,8,11,12,12,13,10,13,10,65,54,122,1
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,50-54,212,1,7,4,5,6,2,4,5,3,10,31,16,115,3
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,55-59,184,1,1,1,2,1,4,4,4,4,5,20,18,118,1
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,60-64,93,0,2,2,4,5,2,2,0,0,1,11,3,60,1
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,65-69,50,0,1,0,3,0,2,0,0,0,0,3,2,39,0
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,70-74,22,0,0,1,0,0,0,1,0,0,1,2,1,16,0
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,75 ja vanemad,11,0,0,0,0,0,0,1,1,0,0,1,1,7,0
2017,Mehed,linnaline ja väikelinnaline asustuspiirkond,Vanus teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,maaline asustuspiirkond,Vanuserühmad kokku,863,20,32,50,42,36,44,37,34,26,29,118,106,287,2
2017,Mehed,maaline asustuspiirkond,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,maaline asustuspiirkond,20-24,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0
2017,Mehed,maaline asustuspiirkond,25-29,53,2,11,12,9,6,5,3,0,1,2,2,0,0,0
2017,Mehed,maaline asustuspiirkond,30-34,116,8,6,15,12,8,14,12,13,10,7,11,0,0,0
2017,Mehed,maaline asustuspiirkond,35-39,114,5,2,8,9,5,11,11,7,3,8,34,11,0,0
2017,Mehed,maaline asustuspiirkond,40-44,145,3,1,8,4,10,7,6,5,5,5,35,34,22,0
2017,Mehed,maaline asustuspiirkond,45-49,147,1,1,6,4,5,1,4,3,3,2,27,34,56,0
2017,Mehed,maaline asustuspiirkond,50-54,105,0,3,1,1,0,3,1,2,2,2,4,10,76,0
2017,Mehed,maaline asustuspiirkond,55-59,86,0,3,0,1,0,3,0,2,1,1,2,7,66,0
2017,Mehed,maaline asustuspiirkond,60-64,45,0,0,0,0,2,0,0,2,1,1,1,3,35,0
2017,Mehed,maaline asustuspiirkond,65-69,27,1,1,0,0,0,0,0,0,0,0,1,2,21,1
2017,Mehed,maaline asustuspiirkond,70-74,11,0,0,0,0,0,0,0,0,0,1,1,4,5,0
2017,Mehed,maaline asustuspiirkond,75 ja vanemad,8,0,0,0,0,0,0,0,0,0,0,0,1,6,1
2017,Mehed,maaline asustuspiirkond,Vanus teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,Vanuserühmad kokku,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,30-34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,35-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,40-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,45-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,50-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,55-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,60-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,65-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,70-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,75 ja vanemad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,teadmata,Vanus teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Kokku,Vanuserühmad kokku,3323,94,193,226,214,169,187,168,142,128,127,510,308,833,24
2017,Naised,Kokku,15-19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Kokku,20-24,139,17,42,36,26,9,5,2,0,0,0,0,0,0,2
2017,Naised,Kokku,25-29,425,28,67,59,73,53,48,38,21,12,9,14,0,0,3
2017,Naised,Kokku,30-34,593,19,33,64,51,57,57,58,52,44,38,112,4,0,4
2017,Naised,Kokku,35-39,539,10,17,23,25,21,38,37,39,37,39,167,77,6,3
2017,Naised,Kokku,40-44,516,9,18,24,15,12,24,12,13,21,15,118,121,112,2
2017,Naised,Kokku,45-49,409,5,11,7,10,8,11,9,10,8,15,52,60,202,1
2017,Naised,Kokku,50-54,298,5,1,5,8,4,1,3,2,4,9,27,20,206,3
2017,Naised,Kokku,55-59,195,0,3,4,3,4,2,3,3,2,1,11,13,145,1
2017,Naised,Kokku,60-64,107,1,0,2,3,1,1,2,0,0,1,6,5,84,1
2017,Naised,Kokku,65-69,54,0,0,0,0,0,0,1,1,0,0,2,5,45,0
2017,Naised,Kokku,70-74,22,0,0,0,0,0,0,1,0,0,0,0,3,18,0
2017,Naised,Kokku,75 ja vanemad,17,0,0,0,0,0,0,0,1,0,0,1,0,14,1
2017,Naised,Kokku,Vanus teadmata,8,0,0,2,0,0,0,2,0,0,0,0,0,1,3
2017,Naised,Elukoht teadmata,Vanuserühmad kokku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,30-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,35-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,40-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,45-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,50-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,55-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,60-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,65-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,70-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,75 ja vanemad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht teadmata,Vanus teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht väljaspool Eestit,Vanuserühmad kokku,72,2,7,3,2,3,2,4,5,2,0,7,9,20,6
2017,Naised,Elukoht väljaspool Eestit,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht väljaspool Eestit,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht väljaspool Eestit,25-29,6,0,3,0,1,2,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht väljaspool Eestit,30-34,11,1,1,1,0,0,0,2,2,1,0,3,0,0,0
2017,Naised,Elukoht väljaspool Eestit,35-39,9,0,2,0,0,0,0,0,1,1,0,1,3,0,1
2017,Naised,Elukoht väljaspool Eestit,40-44,12,0,0,0,1,1,1,0,2,0,0,1,3,2,1
2017,Naised,Elukoht väljaspool Eestit,45-49,13,0,1,0,0,0,0,0,0,0,0,1,2,9,0
2017,Naised,Elukoht väljaspool Eestit,50-54,5,0,0,0,0,0,1,0,0,0,0,1,0,2,1
2017,Naised,Elukoht väljaspool Eestit,55-59,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0
2017,Naised,Elukoht väljaspool Eestit,60-64,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0
2017,Naised,Elukoht väljaspool Eestit,65-69,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,Naised,Elukoht väljaspool Eestit,70-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht väljaspool Eestit,75 ja vanemad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht väljaspool Eestit,Vanus teadmata,8,0,0,2,0,0,0,2,0,0,0,0,0,1,3
2017,Naised,Elukoht Eestis,Vanuserühmad kokku,718,16,27,38,30,34,36,37,23,23,26,97,84,245,2
2017,Naised,Elukoht Eestis,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht Eestis,20-24,26,4,10,5,5,2,0,0,0,0,0,0,0,0,0
2017,Naised,Elukoht Eestis,25-29,69,3,6,9,10,9,11,8,5,3,2,3,0,0,0
2017,Naised,Elukoht Eestis,30-34,91,2,2,9,7,10,8,10,8,5,7,20,2,0,1
2017,Naised,Elukoht Eestis,35-39,113,1,5,5,5,6,7,7,4,6,9,33,24,1,0
2017,Naised,Elukoht Eestis,40-44,129,5,1,7,2,3,7,3,1,6,3,25,31,35,0
2017,Naised,Elukoht Eestis,45-49,105,1,3,1,1,2,3,7,2,2,2,10,20,51,0
2017,Naised,Elukoht Eestis,50-54,80,0,0,1,0,1,0,0,0,0,2,3,1,71,1
2017,Naised,Elukoht Eestis,55-59,52,0,0,1,0,1,0,1,3,1,1,1,3,40,0
2017,Naised,Elukoht Eestis,60-64,27,0,0,0,0,0,0,0,0,0,0,2,1,24,0
2017,Naised,Elukoht Eestis,65-69,16,0,0,0,0,0,0,1,0,0,0,0,2,13,0
2017,Naised,Elukoht Eestis,70-74,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2017,Naised,Elukoht Eestis,75 ja vanemad,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,Naised,Elukoht Eestis,Vanus teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,Vanuserühmad kokku,2533,76,159,185,182,132,149,127,114,103,101,406,215,568,16
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,15-19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,20-24,113,13,32,31,21,7,5,2,0,0,0,0,0,0,2
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,25-29,350,25,58,50,62,42,37,30,16,9,7,11,0,0,3
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,30-34,491,16,30,54,44,47,49,46,42,38,31,89,2,0,3
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,35-39,417,9,10,18,20,15,31,30,34,30,30,133,50,5,2
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,40-44,375,4,17,17,12,8,16,9,10,15,12,92,87,75,1
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,45-49,291,4,7,6,9,6,8,2,8,6,13,41,38,142,1
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,50-54,213,5,1,4,8,3,0,3,2,4,7,23,19,133,1
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,55-59,140,0,3,3,3,3,2,2,0,1,0,10,9,103,1
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,60-64,76,0,0,2,3,1,1,2,0,0,1,4,4,57,1
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,65-69,37,0,0,0,0,0,0,0,1,0,0,2,3,31,0
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,70-74,13,0,0,0,0,0,0,1,0,0,0,0,3,9,0
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,75 ja vanemad,16,0,0,0,0,0,0,0,1,0,0,1,0,13,1
2017,Naised,linnaline ja väikelinnaline asustuspiirkond,Vanus teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,maaline asustuspiirkond,Vanuserühmad kokku,718,16,27,38,30,34,36,37,23,23,26,97,84,245,2
2017,Naised,maaline asustuspiirkond,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,maaline asustuspiirkond,20-24,26,4,10,5,5,2,0,0,0,0,0,0,0,0,0
2017,Naised,maaline asustuspiirkond,25-29,69,3,6,9,10,9,11,8,5,3,2,3,0,0,0
2017,Naised,maaline asustuspiirkond,30-34,91,2,2,9,7,10,8,10,8,5,7,20,2,0,1
2017,Naised,maaline asustuspiirkond,35-39,113,1,5,5,5,6,7,7,4,6,9,33,24,1,0
2017,Naised,maaline asustuspiirkond,40-44,129,5,1,7,2,3,7,3,1,6,3,25,31,35,0
2017,Naised,maaline asustuspiirkond,45-49,105,1,3,1,1,2,3,7,2,2,2,10,20,51,0
2017,Naised,maaline asustuspiirkond,50-54,80,0,0,1,0,1,0,0,0,0,2,3,1,71,1
2017,Naised,maaline asustuspiirkond,55-59,52,0,0,1,0,1,0,1,3,1,1,1,3,40,0
2017,Naised,maaline asustuspiirkond,60-64,27,0,0,0,0,0,0,0,0,0,0,2,1,24,0
2017,Naised,maaline asustuspiirkond,65-69,16,0,0,0,0,0,0,1,0,0,0,0,2,13,0
2017,Naised,maaline asustuspiirkond,70-74,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2017,Naised,maaline asustuspiirkond,75 ja vanemad,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,Naised,maaline asustuspiirkond,Vanus teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,Vanuserühmad kokku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,30-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,35-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,40-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,45-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,50-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,55-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,60-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,65-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,70-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,75 ja vanemad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Naised,teadmata,Vanus teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Kokku,Vanuserühmad kokku,3199,67,165,167,186,177,147,117,93,109,93,442,226,602,608
2018,Mehed,Kokku,15-19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Kokku,20-24,46,5,17,12,5,4,0,0,0,0,0,0,0,0,3
2018,Mehed,Kokku,25-29,237,17,29,42,37,32,17,11,2,3,2,1,0,0,44
2018,Mehed,Kokku,30-34,505,10,61,43,59,54,43,28,30,27,21,42,0,0,87
2018,Mehed,Kokku,35-39,549,16,22,32,34,36,42,31,18,32,25,114,32,0,115
2018,Mehed,Kokku,40-44,531,8,19,17,23,27,22,17,20,25,18,139,94,40,62
2018,Mehed,Kokku,45-49,458,7,5,4,9,9,12,14,14,9,15,73,57,138,92
2018,Mehed,Kokku,50-54,323,2,4,6,12,6,6,7,6,7,5,34,25,130,73
2018,Mehed,Kokku,55-59,240,2,3,6,5,5,0,4,1,3,5,14,10,122,60
2018,Mehed,Kokku,60-64,144,0,0,1,0,1,1,2,0,1,2,17,4,81,34
2018,Mehed,Kokku,65-69,77,0,1,1,0,1,2,1,1,1,0,5,1,43,20
2018,Mehed,Kokku,70-74,42,0,0,0,0,0,1,0,0,0,0,2,2,27,10
2018,Mehed,Kokku,75 ja vanemad,31,0,1,0,1,0,0,0,0,0,0,1,1,21,6
2018,Mehed,Kokku,Vanus teadmata,15,0,2,3,1,2,1,2,1,1,0,0,0,0,2
2018,Mehed,Elukoht teadmata,Vanuserühmad kokku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,30-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,35-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,40-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,45-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,50-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,55-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,60-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,65-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,70-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,75 ja vanemad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht teadmata,Vanus teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht väljaspool Eestit,Vanuserühmad kokku,159,0,3,7,3,10,4,5,3,3,3,12,5,9,92
2018,Mehed,Elukoht väljaspool Eestit,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed,Elukoht väljaspool Eestit,20-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,Mehed,Elukoht väljaspool Eestit,25-29,10,0,0,3,0,0,0,0,0,0,0,0,0,0,7
2018,Mehed,Elukoht väljaspool Eestit,30-34,20,0,0,0,0,1,0,0,1,0,1,1,0,0,16
2018,Mehed,Elukoht väljaspool Eestit,35-39,27,0,1,0,1,2,3,0,0,1,0,2,1,0,16
2018,Mehed,Elukoht väljaspool Eestit,40-44,21,0,0,0,0,1,0,0,1,1,1,2,3,1,11
2018,Mehed,Elukoht väljaspool Eestit,45-49,23,0,0,0,0,1,0,2,0,0,0,5,0,0,15
2018,Mehed,Elukoht väljaspool Eestit,50-54,21,0,0,1,1,1,0,0,0,0,1,1,0,3,13
2018,Mehed,Elukoht väljaspool Eestit,55-59,13,0,0,0,0,2,0,1,0,0,0,0,1,3,6
2018,Mehed,Elukoht väljaspool Eestit,60-64,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1
2018,Mehed,Elukoht väljaspool Eestit,65-69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2018,Mehed,Elukoht väljaspool Eestit,70-74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,Mehed,Elukoht väljaspool Eestit,75 ja vanemad,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2018,Mehed,Elukoht väljaspool Eestit,Vanus teadmata,15,0,2,3,1,2,1,2,1,1,0,0,0,0,2
