Aasta,Sugu,Elukoht,Vanuserühm,Kokku,Töötav,Töötu,Pensionär,(Üli)õpilane,Töövõimetu*,Kodune,Kinnipeetav*,Ajateenija,Lapsehoolduspuhkusel*,Muu mittetöötav*,Sotsiaal-majanduslik seisund teadmata
2017,Mehed,Elukoht Eestis,Vanuserühmad kokku,3147,301,100,100,5,..,11,..,0,2,22,2606
2017,Mehed,Elukoht Eestis,15-19,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht Eestis,20-24,45,12,2,1,2,..,0,..,0,0,1,27
2017,Mehed,Elukoht Eestis,25-29,274,40,13,2,0,..,3,..,0,0,0,216
2017,Mehed,Elukoht Eestis,30-34,488,50,17,2,2,..,2,..,0,0,4,411
2017,Mehed,Elukoht Eestis,35-39,496,39,17,0,1,..,3,..,0,0,2,434
2017,Mehed,Elukoht Eestis,40-44,494,36,14,2,0,..,2,..,0,1,1,438
2017,Mehed,Elukoht Eestis,45-49,496,40,16,7,0,..,0,..,0,1,4,428
2017,Mehed,Elukoht Eestis,50-54,317,38,9,4,0,..,0,..,0,0,6,260
2017,Mehed,Elukoht Eestis,55-59,270,30,11,16,0,..,0,..,0,0,3,210
2017,Mehed,Elukoht Eestis,60-64,138,7,1,29,0,..,0,..,0,0,1,100
2017,Mehed,Elukoht Eestis,65-69,77,8,0,21,0,..,1,..,0,0,0,47
2017,Mehed,Elukoht Eestis,70-74,33,1,0,7,0,..,0,..,0,0,0,25
2017,Mehed,Elukoht Eestis,75 ja vanemad,19,0,0,9,0,..,0,..,0,0,0,10
2017,Mehed,Elukoht Eestis,Vanus teadmata,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,Vanuserühmad kokku,2283,204,71,60,4,..,9,..,0,1,14,1920
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,15-19,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,20-24,39,10,2,1,2,..,0,..,0,0,1,23
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,25-29,221,32,12,2,0,..,3,..,0,0,0,172
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,30-34,371,36,10,2,1,..,2,..,0,0,3,317
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,35-39,382,31,12,0,1,..,2,..,0,0,2,334
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,40-44,349,20,11,2,0,..,1,..,0,0,1,314
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,45-49,349,29,12,3,0,..,0,..,0,1,1,303
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,50-54,212,24,4,3,0,..,0,..,0,0,3,178
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,55-59,184,12,7,9,0,..,0,..,0,0,2,154
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,60-64,93,3,1,17,0,..,0,..,0,0,1,71
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,65-69,50,6,0,11,0,..,1,..,0,0,0,32
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,70-74,22,1,0,4,0,..,0,..,0,0,0,17
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,75 ja vanemad,11,0,0,6,0,..,0,..,0,0,0,5
2017,Mehed,..linnaline ja väikelinnaline asustuspiirkond  ,Vanus teadmata,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..maaline asustuspiirkond,Vanuserühmad kokku,863,97,29,40,1,..,2,..,0,1,8,685
2017,Mehed,..maaline asustuspiirkond,15-19,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..maaline asustuspiirkond,20-24,6,2,0,0,0,..,0,..,0,0,0,4
2017,Mehed,..maaline asustuspiirkond,25-29,53,8,1,0,0,..,0,..,0,0,0,44
2017,Mehed,..maaline asustuspiirkond,30-34,116,14,7,0,1,..,0,..,0,0,1,93
2017,Mehed,..maaline asustuspiirkond,35-39,114,8,5,0,0,..,1,..,0,0,0,100
2017,Mehed,..maaline asustuspiirkond,40-44,145,16,3,0,0,..,1,..,0,1,0,124
2017,Mehed,..maaline asustuspiirkond,45-49,147,11,4,4,0,..,0,..,0,0,3,125
2017,Mehed,..maaline asustuspiirkond,50-54,105,14,5,1,0,..,0,..,0,0,3,82
2017,Mehed,..maaline asustuspiirkond,55-59,86,18,4,7,0,..,0,..,0,0,1,56
2017,Mehed,..maaline asustuspiirkond,60-64,45,4,0,12,0,..,0,..,0,0,0,29
2017,Mehed,..maaline asustuspiirkond,65-69,27,2,0,10,0,..,0,..,0,0,0,15
2017,Mehed,..maaline asustuspiirkond,70-74,11,0,0,3,0,..,0,..,0,0,0,8
2017,Mehed,..maaline asustuspiirkond,75 ja vanemad,8,0,0,3,0,..,0,..,0,0,0,5
2017,Mehed,..maaline asustuspiirkond,Vanus teadmata,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,Vanuserühmad kokku,1,0,0,0,0,..,0,..,0,0,0,1
2017,Mehed,..teadmata,15-19,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,20-24,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,25-29,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,30-34,1,0,0,0,0,..,0,..,0,0,0,1
2017,Mehed,..teadmata,35-39,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,40-44,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,45-49,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,50-54,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,55-59,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,60-64,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,65-69,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,70-74,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,75 ja vanemad,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,..teadmata,Vanus teadmata,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Kokku,Vanuserühmad kokku,3323,587,81,77,26,..,43,..,0,62,11,2436
2017,Naised,Kokku,15-19,1,0,0,0,1,..,0,..,0,0,0,0
2017,Naised,Kokku,20-24,139,39,7,0,5,..,6,..,0,7,1,74
2017,Naised,Kokku,25-29,425,107,15,3,6,..,8,..,0,23,0,263
2017,Naised,Kokku,30-34,593,118,23,2,6,..,12,..,0,20,2,410
2017,Naised,Kokku,35-39,539,72,9,2,3,..,6,..,0,10,1,436
2017,Naised,Kokku,40-44,516,82,11,5,2,..,5,..,0,2,3,406
2017,Naised,Kokku,45-49,409,64,7,4,2,..,3,..,0,0,1,328
2017,Naised,Kokku,50-54,298,58,5,3,0,..,2,..,0,0,3,227
2017,Naised,Kokku,55-59,195,37,3,6,1,..,0,..,0,0,0,148
2017,Naised,Kokku,60-64,107,8,1,18,0,..,1,..,0,0,0,79
2017,Naised,Kokku,65-69,54,2,0,18,0,..,0,..,0,0,0,34
2017,Naised,Kokku,70-74,22,0,0,9,0,..,0,..,0,0,0,13
2017,Naised,Kokku,75 ja vanemad,17,0,0,7,0,..,0,..,0,0,0,10
2017,Naised,Kokku,Vanus teadmata,8,0,0,0,0,..,0,..,0,0,0,8
2017,Naised,Elukoht teadmata,Vanuserühmad kokku,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,15-19,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,20-24,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,25-29,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,30-34,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,35-39,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,40-44,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,45-49,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,50-54,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,55-59,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,60-64,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,65-69,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,70-74,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,75 ja vanemad,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht teadmata,Vanus teadmata,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht väljaspool Eestit,Vanuserühmad kokku,72,4,0,0,1,..,0,..,0,0,0,67
2017,Naised,Elukoht väljaspool Eestit,15-19,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht väljaspool Eestit,20-24,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht väljaspool Eestit,25-29,6,1,0,0,1,..,0,..,0,0,0,4
2017,Naised,Elukoht väljaspool Eestit,30-34,11,3,0,0,0,..,0,..,0,0,0,8
2017,Naised,Elukoht väljaspool Eestit,35-39,9,0,0,0,0,..,0,..,0,0,0,9
2017,Naised,Elukoht väljaspool Eestit,40-44,12,0,0,0,0,..,0,..,0,0,0,12
2017,Naised,Elukoht väljaspool Eestit,45-49,13,0,0,0,0,..,0,..,0,0,0,13
2017,Naised,Elukoht väljaspool Eestit,50-54,5,0,0,0,0,..,0,..,0,0,0,5
2017,Naised,Elukoht väljaspool Eestit,55-59,3,0,0,0,0,..,0,..,0,0,0,3
2017,Naised,Elukoht väljaspool Eestit,60-64,4,0,0,0,0,..,0,..,0,0,0,4
2017,Naised,Elukoht väljaspool Eestit,65-69,1,0,0,0,0,..,0,..,0,0,0,1
2017,Naised,Elukoht väljaspool Eestit,70-74,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht väljaspool Eestit,75 ja vanemad,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,Elukoht väljaspool Eestit,Vanus teadmata,8,0,0,0,0,..,0,..,0,0,0,8
2017,Naised,Elukoht Eestis,Vanuserühmad kokku,3251,583,81,77,25,..,43,..,0,62,11,2369
2017,Naised,Elukoht Eestis,15-19,1,0,0,0,1,..,0,..,0,0,0,0
2017,Naised,Elukoht Eestis,20-24,139,39,7,0,5,..,6,..,0,7,1,74
2017,Naised,Elukoht Eestis,25-29,419,106,15,3,5,..,8,..,0,23,0,259
2017,Naised,Elukoht Eestis,30-34,582,115,23,2,6,..,12,..,0,20,2,402
2017,Naised,Elukoht Eestis,35-39,530,72,9,2,3,..,6,..,0,10,1,427
2017,Naised,Elukoht Eestis,40-44,504,82,11,5,2,..,5,..,0,2,3,394
2017,Naised,Elukoht Eestis,45-49,396,64,7,4,2,..,3,..,0,0,1,315
2017,Naised,Elukoht Eestis,50-54,293,58,5,3,0,..,2,..,0,0,3,222
2017,Naised,Elukoht Eestis,55-59,192,37,3,6,1,..,0,..,0,0,0,145
2017,Naised,Elukoht Eestis,60-64,103,8,1,18,0,..,1,..,0,0,0,75
2017,Naised,Elukoht Eestis,65-69,53,2,0,18,0,..,0,..,0,0,0,33
2017,Naised,Elukoht Eestis,70-74,22,0,0,9,0,..,0,..,0,0,0,13
2017,Naised,Elukoht Eestis,75 ja vanemad,17,0,0,7,0,..,0,..,0,0,0,10
2017,Naised,Elukoht Eestis,Vanus teadmata,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,Vanuserühmad kokku,2533,423,55,52,22,..,35,..,0,48,8,1890
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,15-19,1,0,0,0,1,..,0,..,0,0,0,0
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,20-24,113,30,6,0,5,..,6,..,0,6,1,59
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,25-29,350,86,10,3,5,..,5,..,0,18,0,223
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,30-34,491,90,19,2,4,..,12,..,0,16,2,346
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,35-39,417,52,4,2,3,..,4,..,0,6,0,346
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,40-44,375,57,5,3,1,..,3,..,0,2,2,302
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,45-49,291,45,3,2,2,..,2,..,0,0,1,236
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,50-54,213,35,4,2,0,..,2,..,0,0,2,168
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,55-59,140,26,3,3,1,..,0,..,0,0,0,107
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,60-64,76,1,1,10,0,..,1,..,0,0,0,63
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,65-69,37,1,0,12,0,..,0,..,0,0,0,24
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,70-74,13,0,0,7,0,..,0,..,0,0,0,6
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,75 ja vanemad,16,0,0,6,0,..,0,..,0,0,0,10
2017,Naised,..linnaline ja väikelinnaline asustuspiirkond  ,Vanus teadmata,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..maaline asustuspiirkond,Vanuserühmad kokku,718,160,26,25,3,..,8,..,0,14,3,479
2017,Naised,..maaline asustuspiirkond,15-19,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..maaline asustuspiirkond,20-24,26,9,1,0,0,..,0,..,0,1,0,15
2017,Naised,..maaline asustuspiirkond,25-29,69,20,5,0,0,..,3,..,0,5,0,36
2017,Naised,..maaline asustuspiirkond,30-34,91,25,4,0,2,..,0,..,0,4,0,56
2017,Naised,..maaline asustuspiirkond,35-39,113,20,5,0,0,..,2,..,0,4,1,81
2017,Naised,..maaline asustuspiirkond,40-44,129,25,6,2,1,..,2,..,0,0,1,92
2017,Naised,..maaline asustuspiirkond,45-49,105,19,4,2,0,..,1,..,0,0,0,79
2017,Naised,..maaline asustuspiirkond,50-54,80,23,1,1,0,..,0,..,0,0,1,54
2017,Naised,..maaline asustuspiirkond,55-59,52,11,0,3,0,..,0,..,0,0,0,38
2017,Naised,..maaline asustuspiirkond,60-64,27,7,0,8,0,..,0,..,0,0,0,12
2017,Naised,..maaline asustuspiirkond,65-69,16,1,0,6,0,..,0,..,0,0,0,9
2017,Naised,..maaline asustuspiirkond,70-74,9,0,0,2,0,..,0,..,0,0,0,7
2017,Naised,..maaline asustuspiirkond,75 ja vanemad,1,0,0,1,0,..,0,..,0,0,0,0
2017,Naised,..maaline asustuspiirkond,Vanus teadmata,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,Vanuserühmad kokku,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,15-19,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,20-24,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,25-29,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,30-34,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,35-39,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,40-44,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,45-49,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,50-54,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,55-59,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,60-64,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,65-69,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,70-74,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,75 ja vanemad,0,0,0,0,0,..,0,..,0,0,0,0
2017,Naised,..teadmata,Vanus teadmata,0,0,0,0,0,..,0,..,0,0,0,0
